genre,word,number,senti,n
Pop,want,5,positive,376
Pop,wrong,1,negative,59
Pop,wrong,2,negative,55
Pop,wrong,3,negative,59
Pop,wrong,4,negative,60
Pop,wrong,5,negative,66
R&B,alone,1,negative,8
R&B,alone,2,negative,12
R&B,alone,3,negative,12
R&B,alone,4,negative,10
R&B,alone,5,negative,13
R&B,bad,1,negative,7
R&B,bad,2,negative,4
R&B,bad,3,negative,9
R&B,bad,4,negative,7
R&B,bad,5,negative,10
R&B,good,1,positive,23
R&B,good,2,positive,20
R&B,good,3,positive,21
R&B,good,4,positive,27
R&B,good,5,positive,16
R&B,happy,1,positive,5
R&B,happy,2,positive,2
R&B,happy,3,positive,2
R&B,happy,4,positive,2
R&B,happy,5,positive,5
R&B,like,1,positive,43
R&B,like,2,positive,38
R&B,like,3,positive,47
R&B,like,4,positive,39
R&B,like,5,positive,39
R&B,lost,1,negative,5
R&B,lost,2,negative,8
R&B,lost,3,negative,11
R&B,lost,4,negative,3
R&B,lost,5,negative,4
R&B,love,1,positive,78
R&B,love,2,positive,119
R&B,love,3,positive,110
R&B,love,4,positive,105
R&B,love,5,positive,148
R&B,no,1,negative,51
R&B,no,2,negative,74
R&B,no,3,negative,64
R&B,no,4,negative,56
R&B,no,5,negative,73
R&B,want,1,positive,33
R&B,want,2,positive,46
R&B,want,3,positive,46
R&B,want,4,positive,49
R&B,want,5,positive,57
R&B,wrong,1,negative,4
R&B,wrong,2,negative,6
R&B,wrong,3,negative,10
R&B,wrong,4,negative,7
R&B,wrong,5,negative,8
Rock,alone,1,negative,262
Rock,alone,2,negative,239
Rock,alone,3,negative,253
Rock,alone,4,negative,274
Rock,alone,5,negative,318
Rock,bad,1,negative,139
Rock,bad,2,negative,141
Rock,bad,3,negative,164
Rock,bad,4,negative,138
Rock,bad,5,negative,179
Rock,good,1,positive,354
Rock,good,2,positive,376
Rock,good,3,positive,385
Rock,good,4,positive,383
Rock,good,5,positive,414
Rock,happy,1,positive,80
Rock,happy,2,positive,86
Rock,happy,3,positive,84
Rock,happy,4,positive,80
Rock,happy,5,positive,97
Rock,like,1,positive,1327
Rock,like,2,positive,1238
Rock,like,3,positive,1267
Rock,like,4,positive,1167
Rock,like,5,positive,1156
Rock,lost,1,negative,221
Rock,lost,2,negative,183
Rock,lost,3,negative,206
Rock,lost,4,negative,221
Rock,lost,5,negative,187
Rock,love,1,positive,1064
Rock,love,2,positive,1405
Rock,love,3,positive,1417
Rock,love,4,positive,1446
Rock,love,5,positive,1814
Rock,no,1,negative,1070
Rock,no,2,negative,1212
Rock,no,3,negative,1373
Rock,no,4,negative,1355
Rock,no,5,negative,1433
Rock,want,1,positive,725
Rock,want,2,positive,753
Rock,want,3,positive,799
Rock,want,4,positive,872
Rock,want,5,positive,883
Rock,wrong,1,negative,187
Rock,wrong,2,negative,205
Rock,wrong,3,negative,185
Rock,wrong,4,negative,218
Rock,wrong,5,negative,222
